damage_class,road_type,relative_bbox_area,cluster_count,priority
Pothole,city_road,0.072,2,MEDIUM
Longitudinal,national_highway,0.078,3,LOW
Pothole,major_district_road,0.186,1,MEDIUM
Alligator,city_road,0.09787314715806882,1,LOW
Alligator,national_highway,0.112,1,HIGH
Alligator,rural_road,0.084,4,LOW
Pothole,city_road,0.142,2,MEDIUM
Alligator,city_road,0.086,5,MEDIUM
Transverse,major_district_road,0.025,1,LOW
Alligator,major_district_road,0.147,1,MEDIUM
Longitudinal,state_highway,0.292,2,LOW
Pothole,city_road,0.102,2,MEDIUM
Alligator,major_district_road,0.249,6,MEDIUM
Pothole,city_road,0.103,3,MEDIUM
Alligator,city_road,0.305,3,MEDIUM
Pothole,major_district_road,0.095,2,MEDIUM
Transverse,major_district_road,0.099,1,LOW
Pothole,city_road,0.168,2,MEDIUM
Alligator,city_road,0.362,3,MEDIUM
Pothole,rural_road,0.118,3,LOW
Longitudinal,city_road,0.353,1,LOW
Pothole,state_highway,0.085,1,HIGH
Transverse,city_road,0.2346572631471432,6,LOW
Transverse,city_road,0.124,2,LOW
Alligator,major_district_road,0.043,4,MEDIUM
Longitudinal,major_district_road,0.043,2,LOW
Longitudinal,major_district_road,0.276,1,LOW
Alligator,city_road,0.176,5,MEDIUM
Alligator,major_district_road,0.082,5,MEDIUM
Pothole,national_highway,0.199,2,HIGH
Pothole,city_road,0.118,3,MEDIUM
Pothole,city_road,0.097,2,MEDIUM
Alligator,city_road,0.078,4,MEDIUM
Pothole,city_road,0.043,1,LOW
Longitudinal,city_road,0.04726149163624955,4,LOW
Pothole,city_road,0.20671971819680823,2,MEDIUM
Pothole,city_road,0.121,3,MEDIUM
Alligator,city_road,0.055,2,LOW
Transverse,national_highway,0.141,4,MEDIUM
Pothole,state_highway,0.040159169013063954,1,MEDIUM
Pothole,national_highway,0.08,1,HIGH
Pothole,city_road,0.279,1,MEDIUM
Alligator,city_road,0.245,4,MEDIUM
Pothole,major_district_road,0.22,3,MEDIUM
Pothole,city_road,0.178,4,MEDIUM
Pothole,major_district_road,0.234,4,HIGH
Alligator,city_road,0.171,1,MEDIUM
Transverse,state_highway,0.082,3,MEDIUM
Pothole,state_highway,0.124,2,HIGH
Alligator,major_district_road,0.195,3,MEDIUM
Pothole,rural_road,0.05243281078451315,2,LOW
Longitudinal,city_road,0.252,3,LOW
Pothole,city_road,0.14013753843629712,1,MEDIUM
Transverse,city_road,0.026872083206398178,1,LOW
Pothole,rural_road,0.146,2,LOW
Transverse,national_highway,0.04002343918191097,4,MEDIUM
Pothole,city_road,0.335,3,MEDIUM
Transverse,city_road,0.18,3,LOW
Alligator,rural_road,0.183,2,LOW
Alligator,rural_road,0.12681663213063724,1,LOW
Pothole,state_highway,0.268,1,HIGH
Pothole,city_road,0.104,5,MEDIUM
Transverse,major_district_road,0.211,3,MEDIUM
Pothole,city_road,0.161,2,MEDIUM
Transverse,city_road,0.344,2,MEDIUM
Pothole,major_district_road,0.031,1,LOW
Longitudinal,major_district_road,0.1192904990020157,1,LOW
Alligator,major_district_road,0.089,3,LOW
Pothole,national_highway,0.279,2,HIGH
Pothole,city_road,0.01,4,LOW
Longitudinal,major_district_road,0.14856152929952368,1,LOW
Pothole,major_district_road,0.13,1,MEDIUM
Alligator,city_road,0.198,3,MEDIUM
Alligator,major_district_road,0.07,4,MEDIUM
Pothole,city_road,0.325,1,MEDIUM
Transverse,state_highway,0.12,1,LOW
Pothole,city_road,0.194,6,MEDIUM
Alligator,major_district_road,0.289,3,MEDIUM
Pothole,state_highway,0.167,4,HIGH
Alligator,major_district_road,0.177,3,MEDIUM
Pothole,city_road,0.086,6,MEDIUM
Pothole,major_district_road,0.349,7,HIGH
Alligator,city_road,0.08386592734600214,1,LOW
Pothole,city_road,0.06161732525502753,4,MEDIUM
Pothole,national_highway,0.38,2,HIGH
Alligator,major_district_road,0.115,3,MEDIUM
Longitudinal,city_road,0.11079955442927548,4,LOW
Pothole,state_highway,0.018951749270228354,1,HIGH
Pothole,rural_road,0.178,2,LOW
Longitudinal,city_road,0.156,2,LOW
Pothole,rural_road,0.085,6,LOW
Alligator,major_district_road,0.226,2,MEDIUM
Alligator,national_highway,0.06921777613766238,1,HIGH
Pothole,city_road,0.212,4,MEDIUM
Transverse,city_road,0.113,3,MEDIUM
Pothole,major_district_road,0.065,3,MEDIUM
Transverse,city_road,0.057779717112674704,1,LOW
Alligator,rural_road,0.13056628367012776,4,LOW
Transverse,major_district_road,0.162,2,LOW
Longitudinal,city_road,0.216,1,LOW
Transverse,rural_road,0.286,1,LOW
Pothole,national_highway,0.208,2,HIGH
Transverse,city_road,0.12,2,LOW
Transverse,state_highway,0.283,2,MEDIUM
Longitudinal,city_road,0.136,3,LOW
Alligator,city_road,0.011130871475136925,6,MEDIUM
Alligator,city_road,0.534,3,MEDIUM
Pothole,major_district_road,0.037,2,MEDIUM
Alligator,city_road,0.047,1,LOW
Pothole,city_road,0.03727993609115995,2,MEDIUM
Pothole,city_road,0.147,2,MEDIUM
Longitudinal,city_road,0.057,1,LOW
Longitudinal,city_road,0.351,4,LOW
Alligator,city_road,0.064,1,LOW
Alligator,city_road,0.092,1,LOW
Alligator,rural_road,0.09767625046842326,2,LOW
Longitudinal,major_district_road,0.219,3,LOW
Transverse,major_district_road,0.04526382518550288,1,LOW
Pothole,rural_road,0.193,1,LOW
Alligator,state_highway,0.191,5,HIGH
Transverse,major_district_road,0.03,3,MEDIUM
Transverse,city_road,0.12246450225351557,1,LOW
Transverse,rural_road,0.055,6,LOW
Longitudinal,major_district_road,0.01,5,LOW
Transverse,city_road,0.076,2,LOW
Alligator,major_district_road,0.02478491127218582,1,LOW
Alligator,national_highway,0.335,4,HIGH
Pothole,rural_road,0.06990008091091567,2,LOW
Alligator,rural_road,0.03074136973991365,1,LOW
Transverse,city_road,0.224,1,LOW
Alligator,major_district_road,0.117,4,MEDIUM
Pothole,city_road,0.319,2,MEDIUM
Alligator,state_highway,0.08372991194237463,2,HIGH
Alligator,major_district_road,0.251,1,LOW
Longitudinal,city_road,0.203,2,LOW
Alligator,state_highway,0.024,3,HIGH
Alligator,rural_road,0.124,1,LOW
Alligator,state_highway,0.233,5,HIGH
Alligator,city_road,0.349,3,MEDIUM
Alligator,state_highway,0.237,2,HIGH
Alligator,city_road,0.123,5,MEDIUM
Longitudinal,national_highway,0.265,3,MEDIUM
Alligator,city_road,0.03224138941813297,2,LOW
Longitudinal,city_road,0.026054042895710467,3,LOW
Pothole,state_highway,0.098,1,HIGH
Longitudinal,city_road,0.045709421447887366,3,LOW
Transverse,major_district_road,0.1,3,LOW
Pothole,city_road,0.049448570036661546,2,MEDIUM
Alligator,city_road,0.056,1,LOW
Alligator,city_road,0.11439925121763883,2,LOW
Transverse,major_district_road,0.177,2,LOW
Alligator,state_highway,0.281,2,HIGH
Pothole,rural_road,0.098,3,LOW
Alligator,city_road,0.207,5,MEDIUM
Longitudinal,state_highway,0.141,2,LOW
Pothole,national_highway,0.061,4,HIGH
Transverse,major_district_road,0.046,1,LOW
Pothole,city_road,0.052,2,MEDIUM
Transverse,rural_road,0.01143716459128857,1,LOW
Pothole,major_district_road,0.351,1,MEDIUM
Pothole,rural_road,0.259,3,LOW
Pothole,national_highway,0.209,1,HIGH
Transverse,city_road,0.118,4,LOW
Longitudinal,city_road,0.327,3,LOW
Pothole,rural_road,0.09331475434951761,2,LOW
Alligator,major_district_road,0.12073716677232788,1,LOW
Pothole,city_road,0.07,3,MEDIUM
Pothole,major_district_road,0.194,1,MEDIUM
Pothole,major_district_road,0.111,2,MEDIUM
Alligator,city_road,0.289,2,MEDIUM
Alligator,city_road,0.141,2,LOW
Pothole,city_road,0.343,4,MEDIUM
Transverse,city_road,0.03376606695341111,1,LOW
Longitudinal,city_road,0.302,3,LOW
Longitudinal,national_highway,0.17410782039428124,1,MEDIUM
Alligator,city_road,0.14718900000816687,2,LOW
Pothole,major_district_road,0.103,4,MEDIUM
Alligator,major_district_road,0.207,2,MEDIUM
Alligator,rural_road,0.107,2,LOW
Pothole,city_road,0.311,2,MEDIUM
Transverse,national_highway,0.026900707246056255,3,HIGH
Alligator,state_highway,0.097,5,HIGH
Longitudinal,national_highway,0.1,1,LOW
Pothole,major_district_road,0.057,5,MEDIUM
Pothole,state_highway,0.139,2,HIGH
Alligator,major_district_road,0.268,1,MEDIUM
Transverse,major_district_road,0.119,3,LOW
Longitudinal,state_highway,0.084,4,LOW
Longitudinal,rural_road,0.238,3,LOW
Longitudinal,city_road,0.205,4,LOW
Longitudinal,city_road,0.036,1,LOW
Transverse,city_road,0.13215800671055028,1,LOW
Pothole,city_road,0.124,1,MEDIUM
Alligator,city_road,0.10803499169163158,3,MEDIUM
Alligator,major_district_road,0.063,2,MEDIUM
Transverse,major_district_road,0.478,3,LOW
Transverse,city_road,0.137,3,LOW
Pothole,city_road,0.17537618284545983,1,LOW
Alligator,city_road,0.029,4,MEDIUM
Alligator,city_road,0.098,3,LOW
Pothole,city_road,0.10774017309091133,4,MEDIUM
Alligator,rural_road,0.237,4,LOW
Transverse,major_district_road,0.049760171912689735,2,LOW
Longitudinal,rural_road,0.038,1,LOW
Transverse,major_district_road,0.105,6,HIGH
Pothole,city_road,0.097,2,MEDIUM
Pothole,major_district_road,0.135,5,HIGH
Alligator,national_highway,0.232,2,HIGH
Transverse,city_road,0.062,3,MEDIUM
Alligator,major_district_road,0.07212181544065055,1,MEDIUM
Longitudinal,city_road,0.111,4,LOW
Pothole,major_district_road,0.04,1,MEDIUM
Pothole,city_road,0.123,4,MEDIUM
Pothole,major_district_road,0.045,1,MEDIUM
Alligator,major_district_road,0.086,2,MEDIUM
Pothole,city_road,0.15126655815428752,2,MEDIUM
Alligator,major_district_road,0.157,1,MEDIUM
Pothole,national_highway,0.035,3,HIGH
Alligator,rural_road,0.133,4,LOW
Pothole,city_road,0.134,3,MEDIUM
Pothole,state_highway,0.118,4,HIGH
Pothole,national_highway,0.048,3,HIGH
Alligator,rural_road,0.111,2,LOW
Longitudinal,major_district_road,0.317,4,LOW
Alligator,major_district_road,0.135,4,MEDIUM
Alligator,major_district_road,0.25,1,MEDIUM
Transverse,city_road,0.246,4,LOW
Pothole,city_road,0.146,2,MEDIUM
Longitudinal,major_district_road,0.09881821396674094,3,LOW
Longitudinal,state_highway,0.319,3,LOW
Alligator,city_road,0.428,1,LOW
Alligator,city_road,0.08825867065901537,1,MEDIUM
Longitudinal,city_road,0.12,2,LOW
Longitudinal,major_district_road,0.0826534485083523,2,LOW
Pothole,national_highway,0.14,2,HIGH
Transverse,city_road,0.12020708675062874,1,LOW
Pothole,city_road,0.275,2,MEDIUM
Longitudinal,city_road,0.094,2,LOW
Transverse,major_district_road,0.09,1,LOW
Alligator,rural_road,0.14,3,LOW
Alligator,state_highway,0.041,3,HIGH
Pothole,national_highway,0.13692361994878374,2,HIGH
Alligator,national_highway,0.182,5,HIGH
Pothole,city_road,0.317,4,MEDIUM
Pothole,city_road,0.353,2,MEDIUM
Transverse,major_district_road,0.088,5,LOW
Transverse,major_district_road,0.03286440257579839,1,LOW
Transverse,national_highway,0.225,6,MEDIUM
Transverse,major_district_road,0.293,4,LOW
Pothole,major_district_road,0.176,2,MEDIUM
Longitudinal,city_road,0.347,5,LOW
Pothole,rural_road,0.139,2,LOW
Pothole,major_district_road,0.08524778742552215,2,MEDIUM
Alligator,major_district_road,0.016,2,MEDIUM
Pothole,city_road,0.035,5,MEDIUM
Pothole,city_road,0.308,3,MEDIUM
Alligator,city_road,0.086,1,LOW
Longitudinal,city_road,0.07815409541566189,1,LOW
Alligator,major_district_road,0.013233081517744525,1,LOW
Pothole,major_district_road,0.275,3,HIGH
Pothole,city_road,0.176,2,MEDIUM
Alligator,state_highway,0.02904841978401059,2,MEDIUM
Pothole,major_district_road,0.061,5,HIGH
Transverse,city_road,0.153,2,LOW
Pothole,city_road,0.05947961905853763,2,MEDIUM
Pothole,city_road,0.503,3,MEDIUM
Pothole,city_road,0.298,5,MEDIUM
Pothole,city_road,0.244,2,MEDIUM
Pothole,national_highway,0.315,2,HIGH
Alligator,major_district_road,0.449,1,MEDIUM
Alligator,city_road,0.07127084008341499,2,LOW
Pothole,city_road,0.392,1,MEDIUM
Pothole,major_district_road,0.152,6,HIGH
Alligator,city_road,0.083,4,MEDIUM
Alligator,national_highway,0.212,1,HIGH
Alligator,major_district_road,0.038,4,MEDIUM
Alligator,state_highway,0.051,1,MEDIUM
Longitudinal,major_district_road,0.476,1,LOW
Pothole,major_district_road,0.501,6,HIGH
Transverse,city_road,0.026,1,LOW
Longitudinal,city_road,0.18,1,LOW
Pothole,city_road,0.117,1,MEDIUM
Pothole,state_highway,0.13,4,HIGH
Alligator,city_road,0.03723918021205841,2,LOW
Pothole,city_road,0.175,2,MEDIUM
Alligator,city_road,0.093,2,LOW
Alligator,city_road,0.0510324180888617,2,LOW
Pothole,city_road,0.29,3,MEDIUM
Pothole,national_highway,0.0620013339447271,2,HIGH
Transverse,major_district_road,0.08290951773871272,2,LOW
Pothole,city_road,0.037,1,LOW
Longitudinal,major_district_road,0.05301639844733463,1,LOW
Alligator,state_highway,0.163,1,MEDIUM
Transverse,city_road,0.051,4,LOW
Alligator,rural_road,0.153,3,LOW
Transverse,rural_road,0.246,3,LOW
Pothole,city_road,0.052,2,MEDIUM
Alligator,city_road,0.268,2,LOW
Alligator,city_road,0.165,2,LOW
Pothole,national_highway,0.043,2,HIGH
Alligator,state_highway,0.074,1,MEDIUM
Transverse,city_road,0.01,1,LOW
Pothole,city_road,0.11,3,MEDIUM
Longitudinal,city_road,0.0761766826628635,4,LOW
Transverse,major_district_road,0.122,1,LOW
Pothole,major_district_road,0.047,4,MEDIUM
Pothole,city_road,0.342,4,MEDIUM
Pothole,rural_road,0.268,3,LOW
Pothole,city_road,0.088,2,MEDIUM
Transverse,major_district_road,0.128,2,MEDIUM
Pothole,city_road,0.129,1,MEDIUM
Alligator,major_district_road,0.31,2,MEDIUM
Alligator,rural_road,0.0999821435123339,1,LOW
Pothole,major_district_road,0.036,1,MEDIUM
Pothole,city_road,0.268,2,MEDIUM
Alligator,major_district_road,0.158,3,MEDIUM
Transverse,city_road,0.222,2,LOW
Pothole,major_district_road,0.08,2,MEDIUM
Alligator,major_district_road,0.064,2,MEDIUM
Pothole,city_road,0.118,5,MEDIUM
Longitudinal,city_road,0.182,1,LOW
Transverse,major_district_road,0.083,4,LOW
Alligator,rural_road,0.199,2,LOW
Pothole,national_highway,0.06415862697956692,4,HIGH
Alligator,city_road,0.088,1,LOW
Pothole,city_road,0.179,1,MEDIUM
Pothole,city_road,0.1724036426633457,2,MEDIUM
Pothole,rural_road,0.257,4,LOW
Pothole,national_highway,0.091,2,HIGH
Alligator,city_road,0.169,2,MEDIUM
Longitudinal,rural_road,0.12,3,LOW
Pothole,major_district_road,0.202,4,MEDIUM
Alligator,state_highway,0.021,1,MEDIUM
Transverse,state_highway,0.425,4,MEDIUM
Longitudinal,major_district_road,0.27,1,LOW
Pothole,city_road,0.153,2,MEDIUM
Pothole,major_district_road,0.198,2,MEDIUM
Alligator,major_district_road,0.10061928104644163,5,MEDIUM
Alligator,city_road,0.01,3,LOW
Longitudinal,city_road,0.148,1,LOW
Pothole,national_highway,0.10813287584257192,3,HIGH
Transverse,national_highway,0.121,3,MEDIUM
Transverse,city_road,0.045,1,LOW
Alligator,city_road,0.089,1,LOW
Pothole,major_district_road,0.153,1,MEDIUM
Alligator,major_district_road,0.03491158159364643,6,MEDIUM
Pothole,national_highway,0.18,2,HIGH
Pothole,city_road,0.08,1,LOW
Pothole,city_road,0.149,2,LOW
Transverse,major_district_road,0.143,1,LOW
Longitudinal,major_district_road,0.43,1,LOW
Longitudinal,city_road,0.08290370408138237,1,LOW
Pothole,major_district_road,0.094,2,MEDIUM
Alligator,state_highway,0.073,1,MEDIUM
Pothole,city_road,0.103,3,MEDIUM
Alligator,city_road,0.242,3,MEDIUM
Longitudinal,city_road,0.069,2,LOW
Alligator,city_road,0.213,2,LOW
Pothole,city_road,0.012,3,MEDIUM
Transverse,state_highway,0.03305881884453518,2,MEDIUM
Longitudinal,major_district_road,0.061,4,LOW
Longitudinal,major_district_road,0.109,1,LOW
Alligator,major_district_road,0.1449207646205702,1,LOW
Alligator,national_highway,0.289,3,HIGH
Transverse,major_district_road,0.072,1,LOW
Longitudinal,city_road,0.23516684809388114,1,LOW
Alligator,city_road,0.206,1,LOW
